Visit 2,Visit 3,Visit 4,Visit 5
0.77,0.92,0.97,0.95
0.73,0.92,0.97,0.98
0.73,0.93,0.97,0.94
0.81,0.92,0.97,0.93
0.78,0.94,0.94,0.95
0.68,0.9,0.94,0.96
0.75,0.94,0.94,0.97
0.74,0.94,0.89,0.94
0.69,0.92,0.94,0.93
0.74,0.96,0.97,0.97
0.83,0.92,0.98,0.98
0.77,0.9,0.97,0.94
0.73,0.95,0.94,0.95
0.77,0.96,0.96,0.94
0.82,0.94,0.91,0.95
0.79,0.91,0.9,0.93
0.76,0.9,0.98,0.9
0.79,0.92,0.96,0.95
0.7,0.93,0.96,0.95
0.68,0.91,0.95,0.95
0.71,0.96,0.92,0.99
0.71,0.95,0.99,0.96
0.69,0.91,0.96,0.92
0.77,0.9,0.95,0.93
0.71,0.87,0.89,0.86
0.75,0.84,0.94,0.95
0.7,0.91,0.96,0.97
0.74,0.94,0.93,0.97
0.71,0.93,0.94,0.98
0.84,0.93,0.94,0.96
0.71,0.89,0.94,0.93
0.73,0.91,0.93,0.92
0.73,0.88,0.95,0.94
0.68,0.9,0.97,0.96
0.75,0.91,0.92,0.91
0.61,0.91,0.95,0.96
0.67,0.89,0.98,0.98
0.73,0.92,0.92,0.94
0.74,0.85,0.94,0.97
0.79,0.91,0.94,0.94
0.82,0.92,0.95,0.91
0.75,0.92,0.94,0.96
0.83,0.95,0.92,0.94
0.79,0.88,0.96,0.95
0.73,0.92,0.98,0.92
0.77,0.87,0.96,0.95
0.71,0.94,0.89,0.98
0.74,0.95,0.93,0.97
0.72,0.89,0.99,0.94
0.69,0.9,0.93,0.95
